country,quarter,PRITHVI_MOISTURE_ANOM,PRITHVI_MOISTURE_STD
CHL,2019-07-01,-0.0008748511,-1.349229
CHL,2019-10-01,0.00032062968,0.49448743
CHL,2020-01-01,0.0001011393,0.15598093
CHL,2020-04-01,0.00036062146,0.5561643
CHL,2020-07-01,-0.00067411223,-1.0396419
CHL,2020-10-01,-8.749807e-05,-0.13494289
CHL,2021-01-01,-0.0011167458,-1.7222883
CHL,2021-04-01,-0.0006103997,-0.94138193
CHL,2021-07-01,-0.00024049154,-0.37089533
CHL,2021-10-01,-0.00068368466,-1.0544049
CHL,2022-01-01,-0.00020480559,-0.31585908
CHL,2022-04-01,-0.0007026284,-1.0836205
CHL,2022-07-01,-0.00023209008,-0.35793826
CHL,2022-10-01,-0.0003746315,-0.5777711
CHL,2023-01-01,0.0004645954,0.7165169
CHL,2023-04-01,9.127939e-05,0.1407746
CHL,2023-07-01,9.4309915e-05,0.14544839
CHL,2023-10-01,-0.0004694094,-0.72394127
CHL,2024-01-01,-3.2599393e-05,-0.05027604
CHL,2024-04-01,-0.0003703426,-0.5711566
CHL,2024-07-01,-0.00048328828,-0.74534583
CHL,2024-10-01,-0.00072173233,-1.1130834
COL,1981-01-01,-0.0026895406,-1.2620387
COL,1981-04-01,0.0036519852,1.7136556
COL,1981-07-01,0.000114968665,0.053947836
COL,1981-10-01,-0.00039076526,-0.18336248
COL,1982-01-01,-0.002292324,-1.075649
COL,1982-04-01,0.002216304,1.0399773
COL,1982-07-01,-0.00041021593,-0.1924895
COL,1982-10-01,-0.001268493,-0.595227
COL,1983-01-01,-0.0036415085,-1.7087395
COL,1983-04-01,0.0014601644,0.68516684
COL,1983-07-01,0.0003061608,0.14366274
COL,1983-10-01,-0.0003671084,-0.17226176
COL,1984-01-01,-0.0011562085,-0.54253864
COL,1984-04-01,0.0018618585,0.8736575
COL,1984-07-01,0.00050089014,0.23503743
COL,1984-10-01,-0.00066155754,-0.31042892
COL,1985-01-01,-0.0044164485,-2.072372
COL,1985-04-01,0.0023948688,1.123767
COL,1985-07-01,0.0008225404,0.38596842
COL,1985-10-01,-0.00141204,-0.6625849
COL,1986-01-01,-0.0023008084,-1.0796301
COL,1986-04-01,0.0031468216,1.4766129
COL,1986-07-01,0.00058319914,0.27366006
COL,1986-10-01,-0.00017239433,-0.080894224
COL,1987-01-01,-0.0026517052,-1.2442847
COL,1987-04-01,0.0021051767,0.987832
COL,1987-07-01,0.0010474846,0.49152112
COL,1987-10-01,0.00042817462,0.20091644
COL,1988-01-01,-0.0039190827,-1.8389883
COL,1988-04-01,0.0037696853,1.7688851
COL,1988-07-01,0.002063637,0.9683399
COL,1988-10-01,8.12936e-05,0.038146164
COL,1989-01-01,-0.0020992549,-0.98505324
COL,1989-04-01,0.0028835086,1.3530561
COL,1989-07-01,0.00053247093,0.24985638
COL,1989-10-01,-0.0010099337,-0.47390074
COL,1990-01-01,-0.0026820728,-1.2585344
COL,1990-04-01,0.0027812815,1.3050871
COL,1990-07-01,-5.0584164e-05,-0.023736088
COL,1990-10-01,-2.164611e-05,-0.01015721
COL,1991-01-01,-0.0030092355,-1.4120522
COL,1991-04-01,0.003941138,1.8493375
COL,1991-07-01,0.0011643559,0.54636174
COL,1991-10-01,-0.0015829153,-0.7427664
COL,1992-01-01,-0.0036292325,-1.7029792
COL,1992-04-01,0.0020254217,0.95040786
COL,1992-07-01,0.0012976723,0.6089191
COL,1992-10-01,-0.0011026509,-0.51740736
COL,1993-01-01,-0.0016718606,-0.784503
COL,1993-04-01,0.0028967212,1.359256
COL,1993-07-01,0.000707505,0.33198926
COL,1993-10-01,-0.00010944499,-0.05135591
COL,1994-01-01,-0.0019136133,-0.8979429
COL,1994-04-01,0.0036117577,1.6947793
COL,1994-07-01,0.0009730707,0.45660317
COL,1994-10-01,-0.0007349504,-0.34486777
COL,1995-01-01,-0.0043789553,-2.0547788
COL,1995-04-01,0.0029872565,1.4017386
