country,quarter,PRITHVI_HEAT_ANOM,PRITHVI_HEAT_STD
COL,1982-04-01,-0.29004034,-0.46131605
COL,1982-07-01,-0.3560524,-0.56630975
COL,1982-10-01,-0.22453181,-0.35712317
COL,1983-01-01,1.1692854,1.8597761
COL,1983-04-01,0.38442612,0.6114389
COL,1983-07-01,-0.29369482,-0.46712857
COL,1983-10-01,-0.5008278,-0.79657847
COL,1984-01-01,-0.34395662,-0.54707116
COL,1984-04-01,-0.47064337,-0.7485694
COL,1984-07-01,-1.0589561,-1.6842948
COL,1984-10-01,-0.47613335,-0.7573014
COL,1985-01-01,0.62768936,0.9983548
COL,1985-04-01,-0.6046098,-0.9616462
COL,1985-07-01,-1.0189432,-1.6206533
COL,1985-10-01,-0.4715309,-0.7499811
COL,1986-01-01,-0.13815816,-0.21974382
COL,1986-04-01,-0.49715233,-0.79073256
COL,1986-07-01,-0.7755992,-1.2336088
COL,1986-10-01,-0.3353437,-0.5333721
COL,1987-01-01,0.55069095,0.875887
COL,1987-04-01,0.1003952,0.15968095
COL,1987-07-01,-0.04875819,-0.07755106
COL,1987-10-01,0.21130562,0.3360866
COL,1988-01-01,1.1043307,1.7564641
COL,1988-04-01,-0.19337337,-0.3075649
COL,1988-07-01,-0.76495427,-1.2166779
COL,1988-10-01,-0.31689835,-0.50403434
COL,1989-01-01,-0.47616005,-0.7573438
COL,1989-04-01,-0.6256161,-0.99505717
COL,1989-07-01,-0.6950982,-1.1055702
COL,1989-10-01,-0.031142553,-0.04953297
COL,1990-01-01,0.21457481,0.34128633
COL,1990-04-01,-0.20048968,-0.3188836
COL,1990-07-01,-0.5065651,-0.80570376
COL,1990-10-01,-0.16622734,-0.26438853
COL,1991-01-01,0.9042346,1.4382066
COL,1991-04-01,-0.028174082,-0.044811543
COL,1991-07-01,-0.6001403,-0.95453733
COL,1991-10-01,-0.16589801,-0.26386473
COL,1992-01-01,0.92649966,1.4736197
COL,1992-04-01,0.16592662,0.26391023
COL,1992-07-01,-0.81150055,-1.2907108
COL,1992-10-01,-0.14134662,-0.22481515
COL,1993-01-01,0.023399353,0.037217226
COL,1993-04-01,-0.108289085,-0.17223635
COL,1993-07-01,-0.5544154,-0.88181084
COL,1993-10-01,-0.14353307,-0.22829273
COL,1994-01-01,0.28258005,0.44945025
COL,1994-04-01,-0.3123188,-0.49675044
COL,1994-07-01,-0.6623599,-1.0534991
COL,1994-10-01,-0.051992416,-0.08269517
COL,1995-01-01,0.9621188,1.5302727
COL,1995-04-01,-0.053020477,-0.08433033
COL,1995-07-01,-0.35718408,-0.56810975
COL,1995-10-01,-0.22369449,-0.3557914
COL,1996-01-01,0.05470848,0.08701514
COL,1996-04-01,-0.57001686,-0.90662533
COL,1996-07-01,-0.65490466,-1.0416414
COL,1996-10-01,-0.3504683,-0.5574281
COL,1997-01-01,0.25463867,0.40500885
COL,1997-04-01,-0.16338158,-0.25986227
COL,1997-07-01,0.015817642,0.025158335
COL,1997-10-01,0.55381393,0.8808542
COL,1998-01-01,1.5184937,2.4152002
COL,1998-04-01,0.28168297,0.44802344
COL,1998-07-01,-0.22796822,-0.36258885
COL,1998-10-01,-0.028764725,-0.045750976
COL,1999-01-01,-0.17878596,-0.2843633
COL,1999-04-01,-0.6410243,-1.0195643
COL,1999-07-01,-0.8058364,-1.2817018
COL,1999-10-01,-0.34602484,-0.5503607
COL,2000-01-01,0.19009018,0.30234292
COL,2000-04-01,-0.48322996,-0.7685887
COL,2000-07-01,-0.6544488,-1.0409163
COL,2000-10-01,-0.23133405,-0.36794227
COL,2001-01-01,0.15326118,0.24376555
COL,2001-04-01,-0.2422479,-0.38530102
COL,2001-07-01,-0.43954468,-0.6991062
COL,2001-10-01,0.16042455,0.25515905
COL,2002-01-01,0.7821376,1.2440083
COL,2002-04-01,-0.10993004,-0.17484634
COL,2002-07-01,-0.20325024,-0.3232743
COL,2002-10-01,0.1582597,0.2517158
COL,2003-01-01,1.1617025,1.8477154
COL,2003-04-01,-0.08402506,-0.13364385
COL,2003-07-01,-0.46244684,-0.73553264
COL,2003-10-01,0.031942368,0.05080509
COL,2004-01-01,0.9950778,1.5826948
COL,2004-04-01,-0.037712097,-0.059981983
COL,2004-07-01,-0.39489555,-0.62809074
COL,2004-10-01,0.28119215,0.44724277
COL,2005-01-01,1.0727934,1.7063032
COL,2005-04-01,0.3911349,0.6221093
COL,2005-07-01,0.0351607,0.055923928
COL,2005-10-01,0.20755768,0.3301254
COL,2006-01-01,0.4593544,0.73061407
COL,2006-04-01,-0.04090945,-0.06506745
COL,2006-07-01,0.08839289,0.14059098
COL,2006-10-01,0.4207128,0.6691537
COL,2007-01-01,1.5194181,2.4166706
COL,2007-04-01,-0.06708018,-0.10669261
COL,2007-07-01,-0.14432018,-0.22954465
COL,2007-10-01,0.06823095,0.108522944
COL,2008-01-01,0.5843385,0.9294042
COL,2008-04-01,-0.03071785,-0.04885747
COL,2008-07-01,-0.124668755,-0.1982886
COL,2008-10-01,0.20987956,0.3338184
COL,2009-01-01,0.37071356,0.5896287
COL,2009-04-01,0.17681186,0.28122345
COL,2009-07-01,0.30776978,0.48951513
COL,2009-10-01,0.9171435,1.4587384
COL,2010-01-01,1.7976087,2.8591392
COL,2010-04-01,0.6898308,1.0971922
COL,2010-07-01,0.036311466,0.05775425
COL,2010-10-01,0.25949416,0.4127316
COL,2011-01-01,0.60262364,0.95848715
COL,2011-04-01,0.1360817,0.21644115
COL,2011-07-01,0.15778287,0.2509574
COL,2011-10-01,0.2805214,0.44617593
COL,2012-01-01,0.48817253,0.77645
COL,2012-04-01,0.109547295,0.17423756
COL,2012-07-01,-0.066527046,-0.10581284
COL,2012-10-01,0.6628761,1.0543202
COL,2013-01-01,1.0397421,1.6537344
COL,2013-04-01,0.44524702,0.70817596
COL,2013-07-01,-0.11212412,-0.17833607
COL,2013-10-01,0.47113037,0.749344
COL,2014-01-01,1.1340643,1.8037561
COL,2014-04-01,0.4862194,0.7733435
COL,2014-07-01,0.18403435,0.292711
COL,2014-10-01,0.60815555,0.9672858
COL,2015-01-01,0.9224923,1.4672459
COL,2015-04-01,0.59734917,0.950098
COL,2015-07-01,0.79448384,1.2636454
COL,2015-10-01,1.0317078,1.6409557
COL,2016-01-01,2.2906468,3.643328
COL,2016-04-01,0.69352025,1.1030604
COL,2016-07-01,0.26973724,0.42902347
COL,2016-10-01,0.605367,0.9628506
COL,2017-01-01,0.9136543,1.4531889
COL,2017-04-01,0.66994923,1.0655701
COL,2017-07-01,0.49995932,0.7951971
COL,2017-10-01,0.7560692,1.202546
COL,2018-01-01,1.1437315,1.819132
COL,2018-04-01,-0.0035216014,-0.0056011905
COL,2018-07-01,0.25579834,0.40685332
COL,2018-10-01,0.69277763,1.1018792
COL,2019-01-01,1.3753592,2.1875412
COL,2019-04-01,0.73058194,1.1620079
COL,2019-07-01,0.53897667,0.85725516
COL,2019-10-01,0.58247375,0.92643833
COL,2020-01-01,1.9688429,3.1314912
COL,2020-04-01,0.87801105,1.3964974
COL,2020-07-01,0.35580635,0.56591845
COL,2020-10-01,0.5471713,0.8702889
COL,2021-01-01,0.9382737,1.4923466
COL,2021-04-01,0.22260793,0.35406318
COL,2021-07-01,0.14033318,0.22320324
COL,2021-10-01,0.75863457,1.2066263
COL,2022-01-01,0.8678169,1.3802834
COL,2022-04-01,0.052743275,0.083889425
COL,2022-07-01,0.14061356,0.22364919
COL,2022-10-01,0.3795948,0.6037545
COL,2023-01-01,0.7175255,1.1412413
COL,2023-04-01,0.8385932,1.3338023
COL,2023-07-01,1.2711353,2.021771
COL,2023-10-01,1.5466493,2.4599824
COL,2024-01-01,2.2558033,3.5879087
COL,2024-04-01,1.3332729,2.1206021
COL,2024-07-01,1.0898272,1.7333959
COL,2024-10-01,1.1620337,1.848242
EGY,1981-01-01,-8.423524,-1.4508299
EGY,1981-04-01,3.708168,0.6386782
EGY,1981-07-01,5.797905,0.9986051
EGY,1981-10-01,-4.2190423,-0.72666883
EGY,1982-01-01,-8.472625,-1.4592868
EGY,1982-04-01,3.0770905,0.52998424
EGY,1982-07-01,5.815209,1.0015854
EGY,1982-10-01,-4.7319016,-0.8150014
EGY,1983-01-01,-9.727668,-1.6754497
EGY,1983-04-01,2.9736683,0.51217127
EGY,1983-07-01,5.8492293,1.007445
EGY,1983-10-01,-4.1968627,-0.7228487
EGY,1984-01-01,-7.3982315,-1.2742381
EGY,1984-04-01,3.5697918,0.61484486
EGY,1984-07-01,5.540402,0.9542539
EGY,1984-10-01,-4.041617,-0.6961099
EGY,1985-01-01,-6.494659,-1.1186109
EGY,1985-04-01,4.110995,0.70805925
EGY,1985-07-01,5.657139,0.9743601
EGY,1985-10-01,-4.070166,-0.7010271
EGY,1986-01-01,-6.5949516,-1.1358848
EGY,1986-04-01,2.867466,0.49387944
EGY,1986-07-01,6.769604,1.1659662
EGY,1986-10-01,-5.0638547,-0.8721755
EGY,1987-01-01,-7.249558,-1.2486312
EGY,1987-04-01,2.689191,0.46317416
EGY,1987-07-01,6.70747,1.1552644
EGY,1987-10-01,-4.10768,-0.7074883
EGY,1988-01-01,-7.2309113,-1.2454196
EGY,1988-04-01,4.935177,0.85001266
EGY,1988-07-01,7.211887,1.2421429
