country,quarter,PRITHVI_MOISTURE_EXTENT
PHL,2005-10-01,0.0005341880341880341
PHL,2006-01-01,0.009437321937321937
PHL,2006-04-01,0.03062678062678063
PHL,2006-07-01,0.005698005698005697
PHL,2006-10-01,0.012998575498575499
PHL,2007-01-01,0.08386752136752136
PHL,2007-04-01,0.029024216524216523
PHL,2007-07-01,0.0037393162393162395
PHL,2007-10-01,0.0012464387464387464
PHL,2008-01-01,0.005876068376068376
PHL,2008-04-01,0.0017806267806267807
PHL,2008-07-01,0.00017806267806267807
PHL,2008-10-01,0.004807692307692308
PHL,2009-01-01,0.019943019943019943
PHL,2009-04-01,0.00035612535612535614
PHL,2009-07-01,0.009259259259259259
PHL,2009-10-01,0.05056980056980057
PHL,2010-01-01,0.12962962962962962
PHL,2010-04-01,0.05074786324786324
PHL,2010-07-01,0.00035612535612535614
PHL,2010-10-01,0.0035612535612535613
PHL,2011-01-01,0.01103988603988604
PHL,2011-04-01,0.006944444444444445
PHL,2011-07-01,0.0026709401709401706
PHL,2011-10-01,0.0
PHL,2012-01-01,0.004451566951566952
PHL,2012-04-01,0.014957264957264954
PHL,2012-07-01,0.004807692307692307
PHL,2012-10-01,0.007834757834757835
PHL,2013-01-01,0.027421652421652423
PHL,2013-04-01,0.019586894586894586
PHL,2013-07-01,0.0012464387464387464
PHL,2013-10-01,0.00551994301994302
PHL,2014-01-01,0.05893874643874644
PHL,2014-04-01,0.019764957264957264
PHL,2014-07-01,0.002492877492877493
PHL,2014-10-01,0.005698005698005698
PHL,2015-01-01,0.09971509971509973
PHL,2015-04-01,0.05733618233618234
PHL,2015-07-01,0.004095441595441595
PHL,2015-10-01,0.02849002849002849
