country,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,CPIF_YoY,quarter,year,CPI_YoY_annual,FX_YoY_annual,US_GDP_YoY,CHN_GDP_YoY,COMMODITY_YoY,ENSO,PRITHVI_HEAT_STD,PRITHVI_MOISTURE_STD_OLD,PRITHVI_MOISTURE_EXTENT,PRITHVI_HEAT_EXTENT,GDP_YoY_star,CPI_YoY_star,FX_YoY_star,EX_YoY_star,country_add,dates,PRITHVI_MOISTURE_STD_ALL,PRITHVI_MOISTURE_STD,PRITHVI_MOISTURE_FARM,PRITHVI_MOISTURE_NO_FARM
PHL,5.980958144547266,0.9757632987094756,3.243490178163544,-5.499809715,,4/1/15,2015,0.6786020423073275,3.2177310354171205,3.2790878609270546,7.1,-34.96430581,0.9333333333333332,1.768213562969072,-0.477627691,0.057336182,0.1413817663817664,6.581408849595226,4.5787040421278355,17.74852951909901,-11.90217316,PHL,1-Apr-15,-0.000135785,-7.25E-05,-7.25E-05,-0.000481921
PHL,4.9195399017204045,-0.062247121,4.3588489080638615,-8.263874932,,7/1/15,2015,0.6786020423073275,3.2177310354171205,2.4473213664345517,7,-39.54194563,1.8666666666666665,1.043554829432925,1.239785110915222,0.004095442,0.047542735,6.5149149801761075,4.5919679608384865,25.625640681023636,-14.46171613,PHL,1-Jul-15,-0.000406403,-9.91E-05,-9.91E-05,-0.000584205
PHL,5.828053258811772,0.2804612028669551,5.713069009570337,-5.543504953,,10/1/15,2015,0.6786020423073275,3.2177310354171205,2.119861312664817,6.9,-33.86835075,2.58,0.4629623962204836,-0.118390746,0.028490028,0.026887464,6.420013320978626,4.832069162294922,19.864950933829345,-13.61147236,PHL,1-Oct-15,-0.000703443,-0.000117432,-0.000117432,-0.000918848
PHL,7.283161321788256,0.5928237129485092,2.928832931511738,6.941237041501469,,1/1/16,2016,1.2529053821135505,3.8177780957198815,1.7950168913805964,6.8,-27.45151683,2.15,0.0928754,-1.732915889,0.1171652421652421,0.046118234,6.7801229768858455,5.207189639964667,10.684455622080414,-10.62033857,PHL,1-Jan-16,-0.001074775,-0.000161804,-0.000161804,-0.001138483
PHL,8.507555245677256,0.9663341645885336,3.8938053097345104,20.075343898723453,,4/1/16,2016,1.2529053821135505,3.8177780957198815,1.493250832714721,6.7,-18.41438869,0.3933333333333333,2.2972193660330684,0.094729347,0.043625356,0.1878561253561253,6.015616149182463,4.8997129337059935,7.806978157901083,-6.204989418,PHL,1-Apr-16,-0.000899921,-0.000122948,-0.000122948,-0.000819895
PHL,9.439678283,1.4325755216443303,2.8363806844819317,9.288573419,,7/1/16,2016,1.2529053821135505,3.8177780957198815,1.8057615310855144,6.7,-4.734106678,-0.546666667,1.2855481213966502,1.2485326646186428,0.005519943,0.085292023,6.272213366330697,4.7450864174378875,-3.347351147,-0.989575718,PHL,1-Jul-16,-0.000689283,-0.000127148,-0.000127148,-0.000786349
PHL,8.765638070149762,2.019888129272829,5.612093457151346,6.849054770478347,,10/1/16,2016,1.2529053821135505,3.8177780957198815,2.1815663030564147,6.8,13.490253934861318,-0.666666667,0.3086477359357407,1.1583221830684398,0,0.003739316,6.4441307906286855,4.367301196291111,-2.070869126,7.4325753392252185,PHL,1-Oct-16,-4.05E-05,-2.67E-05,-2.67E-05,-0.000171667
PHL,8.956215413234059,2.884615384615308,8.861802724039226,1.2434478269807592,,1/1/17,2017,2.852925645,5.5959949757044045,2.0874616941966906,7,35.86088975117845,-0.16,-0.84359701,0.090443692,0.00730057,0.000178063,5.856425406332205,4.505610781702778,-2.548360752,17.416443794599697,PHL,1-Jan-17,0.001066328,-5.04E-07,-5.04E-07,-2.34E-06
PHL,9.569900813365573,2.8403828342081328,7.465928449744474,-10.38849454,,4/1/17,2017,2.852925645,5.5959949757044045,2.3304137937582903,7,8.792530974610768,0.31,1.5523208876306576,0.4338041570163337,0.004985755,0.1331908831908832,6.077834342360531,4.238722323706643,-1.563501268,11.902947425392316,PHL,1-Apr-17,0.001644534,-2.63E-07,-2.63E-07,-1.71E-06
PHL,10.231688060028675,2.671169788148653,5.835422840209725,-2.195912324,,7/1/17,2017,2.852925645,5.5959949757044045,2.410821412174591,6.9,10.216499883915509,-0.113333333,1.0750007407559252,1.7863686831048975,0,0.042913105,5.917644839,3.6940621533988116,-1.751480628,14.588614371980878,PHL,1-Jul-17,0.001838677,-7.71E-07,-7.71E-07,-3.40E-06
