date,SOI,PDO,WestenV,NINO1+2,NINO3,NINO4,NINO3+4
10/31/01,1.1,-0.793,,-0.89,-0.68,0.08,-0.37
11/30/01,-1.4,0.327,,-1.02,-0.62,0.12,-0.41
11/30/01,-1.4,-0.889,,-1.02,-0.62,0.12,-0.41
12/31/01,0.7,1.098,-0.044171539,-0.78,-0.49,0.4,-0.15
12/31/01,0.7,-0.154,-0.044171539,-0.78,-0.49,0.4,-0.15
1/31/02,1.8,-0.961,,-0.07,-0.24,0.46,-0.04
1/31/02,1.8,0.44,,-0.07,-0.24,0.46,-0.04
2/28/02,-0.4,0.3,,0.77,0.14,0.25,0.01
2/28/02,-0.4,-0.779,,0.77,0.14,0.25,0.01
3/31/02,-0.1,0.382,-0.211204513,0.82,0,0.41,0.02
3/31/02,-0.1,-0.701,-0.211204513,0.82,0,0.41,0.02
4/30/02,-1.4,1.002,,0.63,0.26,0.6,0.31
4/30/02,-1.4,-0.996,,0.63,0.26,0.6,0.31
5/31/02,-0.4,1.967,,0.38,0.57,0.64,0.72
5/31/02,-0.4,-0.868,,0.38,0.57,0.64,0.72
6/30/02,-0.8,-0.422,-0.092845217,-0.23,0.39,0.63,0.74
6/30/02,-0.8,2.492,-0.092845217,-0.23,0.39,0.63,0.74
7/31/02,-1.6,1.593,,-0.26,0.51,0.64,0.87
7/31/02,-1.6,0.285,,-0.26,0.51,0.64,0.87
8/31/02,-1,0.965,,0.2,0.86,0.61,1.09
8/31/02,-1,0.123,,0.2,0.86,0.61,1.09
9/30/02,-0.6,1.035,-0.328649638,0.37,0.99,0.65,1.25
9/30/02,-0.6,0.3,-0.328649638,0.37,0.99,0.65,1.25
10/31/02,-0.7,0.465,,0.97,1.3,0.85,1.47
10/31/02,-0.7,1.081,,0.97,1.3,0.85,1.47
11/30/02,-1.8,1.473,,1.1,1.21,0.84,1.37
11/30/02,-1.8,0.227,,1.1,1.21,0.84,1.37
12/31/02,-0.3,-0.038,-0.163262537,0.13,0.57,0.57,0.6
12/31/02,-0.3,1.442,-0.163262537,0.13,0.57,0.57,0.6
1/31/03,-1.1,0.116,,-0.12,0.44,0.69,0.64
1/31/03,-1.1,1.262,,-0.12,0.44,0.69,0.64
2/28/03,-0.5,-0.135,,-0.07,0.19,0.6,0.36
2/28/03,-0.5,1.282,,-0.07,0.19,0.6,0.36
3/31/03,-0.2,-0.934,-0.14296481,-0.56,-0.44,0.33,-0.14
3/31/03,-0.2,0.529,-0.14296481,-0.56,-0.44,0.33,-0.14
4/30/03,-0.5,-0.403,,-1.65,-0.96,-0.05,-0.61
4/30/03,-0.5,0.324,,-1.65,-0.96,-0.05,-0.61
5/31/03,-1,-0.063,,-1.35,-0.59,0.1,-0.29
5/31/03,-1,-0.182,,-1.35,-0.59,0.1,-0.29
6/30/03,0.5,1.302,0.00420186,-1.01,0.12,0.19,0.21
6/30/03,0.5,0.493,0.00420186,-1.01,0.12,0.19,0.21
7/31/03,0.2,1.152,,0.01,0.26,0.19,0.26
7/31/03,0.2,0.745,,0.01,0.26,0.19,0.26
8/31/03,-0.2,0.049,,-0.45,0.15,0.18,0.27
8/31/03,-0.2,0.601,,-0.45,0.15,0.18,0.27
9/30/03,0,0.757,-0.219179452,0.23,0.4,0.36,0.42
9/30/03,0,0.466,-0.219179452,0.23,0.4,0.36,0.42
10/31/03,-0.5,-0.187,,0.28,0.64,0.37,0.33
10/31/03,-0.5,-0.02,,0.28,0.64,0.37,0.33
11/30/03,1.8,-0.017,,0.22,0.77,0.43,0.43
11/30/03,1.8,-0.361,,0.22,0.77,0.43,0.43
12/31/03,-2.2,0.915,-0.139829533,-0.21,0.42,0.43,0.27
12/31/03,-2.2,-0.226,-0.139829533,-0.21,0.42,0.43,0.27
1/31/04,2,0.262,,-0.07,0.3,0.38,0.23
1/31/04,2,0.032,,-0.07,0.3,0.38,0.23
2/29/04,0.7,0.128,,-0.74,0.13,0.1,0.12
2/29/04,0.7,0.55,,-0.74,0.13,0.1,0.12
3/31/04,-1.5,0.108,-0.06165065,-0.57,-0.07,0.09,0.07
3/31/04,-1.5,0.095,-0.06165065,-0.57,-0.07,0.09,0.07
4/30/04,1.7,0.339,,-1.59,-0.45,0.11,0.06
4/30/04,1.7,0.496,,-1.59,-0.45,0.11,0.06
5/31/04,-1.4,-0.123,,-1.07,-0.26,0.22,0.13
5/31/04,-1.4,-0.288,,-1.07,-0.26,0.22,0.13
6/30/04,-0.8,0.056,-0.150519721,-0.78,-0.02,0.42,0.49
6/30/04,-0.8,0.032,-0.150519721,-0.78,-0.02,0.42,0.49
7/31/04,-0.5,0.292,,-0.75,0.24,0.55,0.76
7/31/04,-0.5,1.556,,-0.75,0.24,0.55,0.76
8/31/04,-0.6,1.992,,-0.27,0.45,0.69,0.81
8/31/04,-0.6,0.108,,-0.27,0.45,0.69,0.81
9/30/04,-0.1,1.767,-0.470389061,0.15,0.54,0.7,0.73
9/30/04,-0.1,-0.52,-0.470389061,0.15,0.54,0.7,0.73
10/31/04,-1.1,1.659,,0.72,0.63,0.76,0.66
10/31/04,-1.1,-0.946,,0.72,0.63,0.76,0.66
11/30/04,-1.3,-0.531,,0.36,0.69,0.87,0.74
11/30/04,-1.3,2.808,,0.36,0.69,0.87,0.74
12/31/04,0.6,-0.068,-0.385140759,-0.02,0.32,0.88,0.66
12/31/04,0.6,2.479,-0.385140759,-0.02,0.32,0.88,0.66
1/31/05,-5.2,1.301,,-0.94,-0.09,0.67,0.36
1/31/05,-5.2,0.169,,-0.94,-0.09,0.67,0.36
