country,GDP_YoY,CPI_YoY,FX_YoY,CA_YoY,quarter
PER,1.1431049436253282,2.007707394127056,-0.2618396916694077,-140.44428165161398,2024-01-01
PER,4.134430678674028,,,667.333927920552,2024-04-01
PER,8.123188647190105,,,2628.979976961939,2024-07-01
PER,8.847700082341724,,,23.12569246021117,2024-10-01
PHL,3.5846249449297485,6.595465617388041,2.194836560929314,5.772494657409166,2005-01-01
PHL,6.56554765973083,,,4.625360906577991,2005-04-01
PHL,6.718403947472118,,,18.83341931427285,2005-07-01
PHL,1.516126676634677,,,11.229539563473768,2005-10-01
PHL,5.313394340723621,5.466690103708904,7.231510716822709,23.38773602599835,2006-01-01
PHL,6.137701400434037,,,27.163708635432073,2006-04-01
PHL,1.123071764475614,,,18.87115385946514,2006-07-01
PHL,-0.7422626033829371,,,18.949097488071388,2006-10-01
PHL,-1.757830339209343,2.941666666666687,11.851706787483018,11.173185814854204,2007-01-01
PHL,-5.435704444280443,,,7.607655060731755,2007-04-01
PHL,-0.6986221422864425,,,9.7480300230967,2007-07-01
PHL,3.4859786419213057,,,16.6645054623936,2007-10-01
PHL,3.737215694690787,8.184246741682166,3.3153521644842865,12.616965573195094,2008-01-01
PHL,10.692607428678503,,,14.708377888842206,2008-04-01
PHL,17.899048243049442,,,5.3615903396664555,2008-07-01
PHL,-1.4113590576802948,,,-15.374344126371176,2008-10-01
PHL,-7.845974849352999,4.212810535767719,-7.059785849226197,-11.784525783405986,2009-01-01
PHL,-7.227562562742862,,,-13.68189283631882,2009-04-01
PHL,-14.68192686622637,,,-6.5854168937307005,2009-07-01
PHL,3.612366786488219,,,10.704535937486526,2009-10-01
PHL,30.940741354972555,3.784016658289646,5.719954283471673,21.02428066105697,2010-01-01
PHL,20.278190208539986,,,17.088334744174794,2010-04-01
PHL,16.35755800994938,,,21.793198658770873,2010-07-01
