country,quarter,PRITHVI_HEAT_EXTENT
COL,2000-10-01,0.0006313131313131314
COL,2001-01-01,0.035248316498316494
COL,2001-04-01,0.003682659932659933
COL,2001-07-01,0.016203703703703703
COL,2001-10-01,0.0202020202020202
COL,2002-01-01,0.13099747474747472
COL,2002-04-01,0.004313973063973064
COL,2002-07-01,0.022306397306397305
COL,2002-10-01,0.0022095959595959595
COL,2003-01-01,0.2445286195286195
COL,2003-04-01,0.009048821548821548
COL,2003-07-01,0.008101851851851853
COL,2003-10-01,0.0037878787878787884
COL,2004-01-01,0.21233164983164984
COL,2004-04-01,0.021569865319865322
COL,2004-07-01,0.009995791245791245
COL,2004-10-01,0.024621212121212117
COL,2005-01-01,0.24442340067340065
COL,2005-04-01,0.0535563973063973
COL,2005-07-01,0.02451599326599327
COL,2005-10-01,0.03040824915824916
COL,2006-01-01,0.056712962962962965
COL,2006-04-01,0.005471380471380472
COL,2006-07-01,0.02251683501683502
COL,2006-10-01,0.04292929292929293
COL,2007-01-01,0.26294191919191917
COL,2007-04-01,0.008627946127946129
COL,2007-07-01,0.006628787878787879
COL,2007-10-01,0.007891414141414142
COL,2008-01-01,0.10016835016835017
COL,2008-04-01,0.007365319865319866
COL,2008-07-01,0.001473063973063973
COL,2008-10-01,0.037037037037037035
COL,2009-01-01,0.032091750841750845
COL,2009-04-01,0.005155723905723906
COL,2009-07-01,0.0765993265993266
COL,2009-10-01,0.16393097643097643
COL,2010-01-01,0.4394991582491583
COL,2010-04-01,0.1534090909090909
COL,2010-07-01,0.026515151515151516
COL,2010-10-01,0.06081649831649832
COL,2011-01-01,0.07607323232323232
COL,2011-04-01,0.027462121212121212
COL,2011-07-01,0.01146885521885522
COL,2011-10-01,0.05734427609427609
COL,2012-01-01,0.08164983164983165
COL,2012-04-01,0.034301346801346805
COL,2012-07-01,0.04471801346801347
COL,2012-10-01,0.07438973063973064
COL,2013-01-01,0.20265151515151514
COL,2013-04-01,0.08428030303030302
COL,2013-07-01,0.03051346801346801
COL,2013-10-01,0.01346801346801347
COL,2014-01-01,0.17308501683501684
COL,2014-04-01,0.1109006734006734
COL,2014-07-01,0.08280723905723907
COL,2014-10-01,0.04450757575757577
COL,2015-01-01,0.16835016835016836
COL,2015-04-01,0.15656565656565657
COL,2015-07-01,0.21254208754208756
COL,2015-10-01,0.2244318181818182
COL,2016-01-01,0.4571759259259259
COL,2016-04-01,0.1869739057239057
COL,2016-07-01,0.07049663299663299
COL,2016-10-01,0.09480218855218854
COL,2017-01-01,0.15098905723905723
COL,2017-04-01,0.1127946127946128
COL,2017-07-01,0.10374579124579125
COL,2017-10-01,0.09869528619528618
COL,2018-01-01,0.2283249158249158
COL,2018-04-01,0.02093855218855219
COL,2018-07-01,0.07028619528619529
COL,2018-10-01,0.0798611111111111
COL,2019-01-01,0.28472222222222227
COL,2019-04-01,0.20075757575757577
COL,2019-07-01,0.1623526936026936
COL,2019-10-01,0.04555976430976431
COL,2020-01-01,0.43255471380471383
