country,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,CPIF_YoY,quarter,year,CPI_YoY_annual,FX_YoY_annual,US_GDP_YoY,CHN_GDP_YoY,COMMODITY_YoY,COMMODITY_AGR_YoY,ENSO,PRITHVI_HEAT_STD,PRITHVI_MOISTURE_STD,PRITHVI_MOISTURE_EXTENT,PRITHVI_HEAT_EXTENT,GDP_YoY_star,CPI_YoY_star,FX_YoY_star,EX_YoY_star,OIL_YoY,IOD,HeatDry,HeatDryYoY,HeatDryF
AUS,3.5276952109924764,2.004007090489179,1.097584867769541,-13.02805539,0.9015683816830932,-145.2647802,,2012-07-01,2012,1.76144401,-0.289986784,2.57371111,7.5,-7.415917292,-0.960170891,0.43,,,,,,,,-3.704216678,-0.0314515416556233,0.6,,,
AUS,2.8423433630288653,2.204404913001222,-2.659808038,-8.943472539,4.711321934786916,-237.6619145,,2012-10-01,2012,1.76144401,-0.289986784,1.551850828,8.1,-2.820512067,3.230563086,-0.06,,,,,,,,0.1100405891025186,0.0071317545944957,0.1466666666666667,,,
AUS,2.3090708438987084,2.502486785325869,1.6061829195288535,-1.014337273,-6.686583146,-122.5544747,,2013-01-01,2013,2.4497785369694265,7.267089570401186,1.700868486,7.9,-4.276381,0.973409313,-0.6,,,,,,,,-0.847661,-0.0517793894417271,-0.02,,,
AUS,1.964093188956073,2.390431273845564,2.070553914784079,-3.254593174,-5.723794185,42.23059244077643,,2013-04-01,2013,2.4497785369694265,7.267089570401186,1.519938187,7.6,-3.27528936,5.516450655,-0.44,,,,,,,,2.752938148093111,-0.0527385240602197,-0.3999999999999999,,,
AUS,2.177314464309976,2.161096388150383,13.332250116882216,-2.655266119,-6.660446939,-87.41163179,,2013-07-01,2013,2.4497785369694265,7.267089570401186,2.237022493,7.9,-1.638429363,-3.606602678,-0.32,,,,,,,,2.728906836917202,0.0054729544832619,-0.2733333333333334,,,
AUS,2.5210376377544863,2.745099700555889,12.059371330409595,0.8821216448950286,-9.346377187,-129.4368827,,2013-10-01,2013,2.4497785369694265,7.267089570401186,3.009146104,7.7,-2.77788128,-4.066248998,-0.22,,,,,,,,4.427164725974039,-0.0083522469359963,-0.16,,,
AUS,2.788988638308254,2.929700495,15.797989846826788,0.8151954461650623,-3.394323556,373.98674411568794,,2014-01-01,2014,2.492631963428234,7.338123272536709,1.650817556,7.6,-3.31396337,0.486255042,-0.53,,,,,,,,3.421411186796311,-0.0382426182853077,-0.2199999999999999,,,
AUS,2.9119927669486234,3.015568454851313,6.089819497730664,-4.715460214,1.4351268766936045,-79.81532833,,2014-04-01,2014,2.492631963428234,7.338123272536709,2.689152128,7.7,1.590692176,0.897197235,0.07,,,,,,,,2.876283442272862,0.0696177847113883,-0.1466666666666666,,,
AUS,2.480497619,2.307699658754122,-0.942389854,-3.562685996,0.2789028496785528,599.2152675393558,,2014-07-01,2014,2.492631963428234,7.338123272536709,3.059784048,7.3,-4.822335451,-3.122258373,-0.09,,,,,,,,3.6980948898330626,-0.0755692642656263,-0.47,,,
AUS,2.0614572532755115,1.717559245,8.407073599159776,-12.48827313,-6.80216301,-235.5907883,,2014-10-01,2014,2.492631963428234,7.338123272536709,2.685835071,7.4,-17.19131184,-4.674752518,0.52,,,,,,,,-5.211167703,-0.3002838048155268,-0.0233333333333333,,,
AUS,2.2538936672490406,1.328267124965015,14.09386949280127,-20.3118454,-11.84604698,-173.272743,,2015-01-01,2015,1.5078631203278012,20.058350192135084,3.969300613,7.1,-31.573579,-16.75825835,0.38,,,,,,,,-11.08705033,-0.501479563528759,-0.2266666666666666,,,
AUS,1.867100977198688,1.510864001973826,19.878893698642596,-23.44774068,-11.19319389,-775.3935508,,2015-04-01,2015,1.5078631203278012,20.058350192135084,3.279087825,7.1,-31.21861382,-20.27474624,0.82,,,,,,,,-12.28375318,-0.4380127620783957,0.2133333333333333,,,
AUS,2.449193736767752,1.503764081,27.496986421720983,-21.96769885,-15.17065564,130.98783002351396,,2015-07-01,2015,1.5078631203278012,20.058350192135084,2.447320253,7.0,-34.43978312,-15.22275131,1.64,,,,,,,,-15.14773143,-0.5051030421982337,0.5633333333333334,,,
AUS,2.707500207800373,1.688557273759714,18.763651155375484,-20.9408299,-8.754687452,307.70724889294485,,2015-10-01,2015,1.5078631203278012,20.058350192135084,2.119860209,6.9,-29.74571615,-15.00175643,2.34,,,,,,,,-11.65574071,-0.4301975664006281,0.3433333333333333,,,
AUS,2.6533244303785786,1.310868949519198,9.012231577841456,-16.23911408,-8.870209035,143.9432882548144,,2016-01-01,2016,1.276609803442563,1.2787389358843937,1.795015801,6.8,-22.84256664,-7.391105615,1.84,,,,,,,,-7.171153611,-0.3713596735299572,-0.2533333333333333,,,
AUS,3.2074930428792614,1.023260625093541,4.360161185149858,-4.433731358,-8.754522075,-39.29489364,,2016-04-01,2016,1.276609803442563,1.2787389358843937,1.493250817,6.7,-13.52347147,1.100564913,-0.06,,,,,,,,-1.091658193,-0.2608272506082725,-0.4666666666666666,,,
AUS,2.202083555761436,1.29629027,-4.304400759,4.7341607347397785,-1.482899023,-46.64502322,,2016-07-01,2016,1.276609803442563,1.2787389358843937,1.805761531,6.7,-1.413317413,4.834869311,-1.0,,,,,,,,1.2821451857796853,-0.091810430299425,-0.84,,,
