lat,lon,value
-41.0,-73.0,-40.67844772338867
-41.0,-72.0,-61.47441101074219
-40.0,-74.0,-21.19586944580078
-40.0,-73.0,-36.81942367553711
-40.0,-72.0,-57.059059143066406
-39.0,-74.0,-18.92188262939453
-39.0,-73.0,-32.557884216308594
-39.0,-72.0,-47.187618255615234
-39.0,-71.0,-23.131582260131836
-38.0,-74.0,-15.790844917297363
-38.0,-73.0,-32.879940032958984
-38.0,-72.0,-44.87263107299805
-38.0,-71.0,-33.91957092285156
-37.0,-74.0,-11.089704513549805
-37.0,-73.0,-31.17728614807129
-37.0,-72.0,-45.037376403808594
-37.0,-71.0,-49.28340148925781
-36.0,-73.0,-20.631105422973633
-36.0,-72.0,-39.51539993286133
-36.0,-71.0,-55.11867904663086
-36.0,-70.0,-15.40809440612793
-35.0,-73.0,-12.59228229522705
-35.0,-72.0,-24.45624542236328
-35.0,-71.0,-31.874876022338867
-35.0,-70.0,-20.597068786621094
-35.0,19.0,13.959174156188965
-35.0,20.0,8.227856636047363
-34.0,-79.0,2.6897711753845215
-34.0,-72.0,-14.099637985229492
-34.0,-71.0,-15.530226707458496
-34.0,-70.0,-21.331254959106445
-34.0,-54.0,-14.197490692138672
-34.0,-53.0,-16.185609817504883
-34.0,18.0,6.712979793548584
-34.0,19.0,2.755725622177124
-34.0,20.0,1.794015645980835
-34.0,21.0,3.2745370864868164
-34.0,22.0,7.1528706550598145
-34.0,23.0,14.975147247314453
-34.0,24.0,16.554645538330078
-34.0,25.0,15.873153686523438
-34.0,26.0,20.504606246948242
-34.0,27.0,27.462751388549805
-33.0,-72.0,-9.18340015411377
-33.0,-71.0,-9.939872741699219
-33.0,-70.0,-13.182077407836914
-33.0,-53.0,-17.302274703979492
-33.0,-52.0,-23.75747299194336
-33.0,18.0,0.39417722821235657
-33.0,19.0,-0.5008224248886108
-33.0,20.0,-1.0370638370513916
-33.0,21.0,1.152482271194458
-33.0,22.0,1.8836162090301514
-33.0,23.0,3.6900439262390137
-33.0,24.0,7.939807415008545
-33.0,25.0,11.350573539733887
-33.0,26.0,15.158072471618652
-33.0,27.0,23.463348388671875
-33.0,28.0,29.176504135131836
-33.0,29.0,33.74916458129883
-32.0,-72.0,-7.022576808929443
-32.0,-71.0,-4.808889389038086
-32.0,-70.0,-6.82914400100708
-32.0,-55.0,-13.146220207214355
-32.0,-54.0,-14.332436561584473
-32.0,-53.0,-13.81834602355957
-32.0,-52.0,-14.514453887939453
-32.0,-51.0,-20.588790893554688
-32.0,18.0,1.5920963287353516
-32.0,19.0,-0.904248058795929
-32.0,20.0,-0.588780403137207
-32.0,21.0,-0.25436457991600037
-32.0,22.0,1.4789692163467407
-32.0,23.0,2.3142106533050537
-32.0,24.0,6.815413951873779
-32.0,25.0,9.766105651855469
-32.0,26.0,12.914043426513672
-32.0,27.0,18.472854614257812
-32.0,28.0,26.2537784576416
-32.0,29.0,31.241317749023438
-32.0,30.0,36.03999328613281
-31.0,-72.0,-5.020712852478027
-31.0,-71.0,-1.5560739040374756
-31.0,-70.0,-4.250523567199707
-31.0,-56.0,-8.847617149353027
-31.0,-55.0,-9.76832103729248
-31.0,-54.0,-13.443419456481934
-31.0,-53.0,-13.611187934875488
-31.0,-52.0,-14.49376392364502
-31.0,-51.0,-14.411405563354492
-31.0,-50.0,-17.426359176635742
-31.0,17.0,1.3134480714797974
-31.0,18.0,-0.1401498019695282
-31.0,19.0,-0.3777962028980255
-31.0,20.0,0.6406858563423157
-31.0,21.0,-0.40760451555252075
-31.0,22.0,-1.4965746402740479
-31.0,23.0,-0.7195252776145935
-31.0,24.0,0.8834003806114197
-31.0,25.0,3.6020028591156006
-31.0,26.0,6.23770809173584
-31.0,27.0,10.664359092712402
-31.0,28.0,17.723678588867188
-31.0,29.0,26.622434616088867
-31.0,30.0,32.59138488769531
-31.0,31.0,34.27199172973633
-30.0,-72.0,-1.9137355089187622
-30.0,-71.0,-0.38024359941482544
-30.0,-70.0,-2.411478281021118
-30.0,-58.0,-0.24044445157051086
-30.0,-57.0,-3.0075581073760986
-30.0,-56.0,-5.032800197601318
-30.0,-55.0,-8.558183670043945
-30.0,-54.0,-9.8858003616333
-30.0,-53.0,-13.110663414001465
-30.0,-52.0,-10.664413452148438
-30.0,-51.0,-10.264860153198242
-30.0,-50.0,-10.110477447509766
-30.0,17.0,0.15396416187286377
