lat,lon,population
-35.0,-73.0,1346.204978943073
-35.0,-72.0,419590.99083301227
-35.0,-71.0,560170.4008398366
-35.0,-70.0,24753.659984718586
-35.0,19.0,18375.423937133495
-35.0,20.0,32681.159120213284
-34.0,-79.0,1038.3256545969653
-34.0,-72.0,191374.6427826438
-34.0,-71.0,4399969.493706846
-34.0,-70.0,24780.133029850207
-34.0,-54.0,35292.09078548647
-34.0,-53.0,40145.74022924354
-34.0,18.0,1324206.3798699102
-34.0,19.0,4610005.728287809
-34.0,20.0,202918.85136349086
-34.0,21.0,91511.3215327794
-34.0,22.0,537522.6203316175
-34.0,23.0,246974.00361621974
-34.0,24.0,41416.81402790458
-34.0,25.0,560858.6975929341
-34.0,26.0,853127.9010236423
-34.0,27.0,68542.44776101795
-33.0,-72.0,772256.7146170762
-33.0,-71.0,5443466.985844734
-33.0,-70.0,30830.472481168883
-33.0,-53.0,46200.375995755894
-33.0,-52.0,411.0515225037234
-33.0,18.0,211538.13859472168
-33.0,19.0,286470.7631361843
-33.0,20.0,57126.23849551124
-33.0,21.0,24573.786653639083
-33.0,22.0,33107.48272512203
-33.0,23.0,22667.800444385495
-33.0,24.0,24418.780694494824
-33.0,25.0,45026.633948170005
-33.0,26.0,102118.40894564631
-33.0,27.0,695060.8368275792
-33.0,28.0,828788.7538006996
-33.0,29.0,3574.0225520358795
-32.0,-72.0,17415.326602451816
-32.0,-71.0,152748.73240945744
-32.0,-70.0,1167.7002072723258
-32.0,-55.0,15999.392177334954
-32.0,-54.0,81167.00402365692
-32.0,-53.0,71856.5367228185
-32.0,-52.0,564353.6682168887
-32.0,-51.0,2297.141681044357
-32.0,18.0,31989.041331501692
-32.0,19.0,79082.65228407185
-32.0,20.0,4434.650069834626
-32.0,21.0,4661.205500118236
-32.0,22.0,6991.296267867179
-32.0,23.0,55939.347905649964
-32.0,24.0,28058.41007619299
-32.0,25.0,63564.73263359284
-32.0,26.0,87414.67417583305
-32.0,27.0,416091.6721774532
-32.0,28.0,641112.3361535713
-32.0,29.0,960540.1458640686
-32.0,30.0,21043.151149942336
-31.0,-72.0,5625.139431452442
-31.0,-71.0,189368.68157238804
-31.0,-70.0,425.41333068110384
-31.0,-56.0,113970.48753486531
-31.0,-55.0,62898.811715281874
-31.0,-54.0,146533.3460336175
-31.0,-53.0,101542.11800679532
-31.0,-52.0,180698.8393189477
